model name: ../saved_model/02_06_2022_05_56_14_MITOR_V2.obj
data: ../data/flu_datasets/2011-2012_flu_normalized.mat
w_from_matlab: False
break_on: True
rho 10
lr for ADMM: 0.8
alpha: 0
beta: 0.001
tol_L: 0.001
tor_r: 1e-10
tol_s: 1e-10
tol_r_s: 10
ADI: 5000
Max_iteration: 1000
2022-06-02 05:56:17,899 : Model Initialized
2022-06-02 06:49:11,300 : ADMM iteration: 106, Max iteration: 3, r-residual: 1.999171E-3, s-residual: 2.233814E-3, rho: 0.3125, mze: 0.13211342692375183, mae: 0.23631279170513153, time taken 20.159260599999925
2022-06-02 06:49:32,014 : ADMM iteration: 107, Max iteration: 3, r-residual: 5.390652E-3, s-residual: 2.227864E-3, rho: 0.3125, mze: 0.13211342692375183, mae: 0.23631279170513153, time taken 20.660120900000038
2022-06-02 06:49:53,717 : ADMM iteration: 108, Max iteration: 3, r-residual: 8.151500E-3, s-residual: 2.222027E-3, rho: 0.3125, mze: 0.13211342692375183, mae: 0.23631279170513153, time taken 21.655114700000013
2022-06-02 06:50:14,596 : ADMM iteration: 109, Max iteration: 3, r-residual: 7.987618E-3, s-residual: 2.216314E-3, rho: 0.3125, mze: 0.13211342692375183, mae: 0.23631279170513153, time taken 20.77860630000032
2022-06-02 06:50:34,950 : ADMM iteration: 110, Max iteration: 3, r-residual: 9.195472E-3, s-residual: 2.210721E-3, rho: 0.3125, mze: 0.13216248154640198, mae: 0.23636184632778168, time taken 20.315268800000013
2022-06-02 06:50:55,797 : ADMM iteration: 111, Max iteration: 3, r-residual: 1.422166E-2, s-residual: 2.205230E-3, rho: 0.3125, mze: 0.13216248154640198, mae: 0.23636184632778168, time taken 20.775566400000116
2022-06-02 06:51:16,455 : ADMM iteration: 112, Max iteration: 3, r-residual: 5.036091E-3, s-residual: 2.199835E-3, rho: 0.3125, mze: 0.13216248154640198, mae: 0.23636184632778168, time taken 20.59712360000003
2022-06-02 06:51:37,114 : ADMM iteration: 113, Max iteration: 3, r-residual: 4.085202E-3, s-residual: 2.194531E-3, rho: 0.3125, mze: 0.13216248154640198, mae: 0.23636184632778168, time taken 20.604354299999613
2022-06-02 06:51:57,906 : ADMM iteration: 114, Max iteration: 3, r-residual: 5.439541E-3, s-residual: 2.189306E-3, rho: 0.3125, mze: 0.13216248154640198, mae: 0.23636184632778168, time taken 20.715068299999984
2022-06-02 06:52:18,446 : ADMM iteration: 115, Max iteration: 3, r-residual: 4.958750E-3, s-residual: 2.184156E-3, rho: 0.3125, mze: 0.13216248154640198, mae: 0.23636184632778168, time taken 20.467258799999854
